Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
small/base64 encode/memory,4.622524322698108e-7,4.559564387611603e-7,4.6845719672151526e-7,2.035745710074761e-8,1.43678023264554e-8,2.748972227238079e-8
small/base64 encode/base64-bytestring,2.1188813536877757e-6,2.10719801825033e-6,2.138492200385799e-6,5.0445700293738596e-8,3.342009146253742e-8,7.905049516242502e-8
small/base64 decode/memory,3.1189290994601106e-7,3.103543763646228e-7,3.148101454842198e-7,5.9675328954305386e-9,4.85165103812648e-9,7.539526457369817e-9
small/base64 decode/base64-bytestring,1.0078762291435598e-7,1.0044069743397358e-7,1.0114148437021256e-7,1.2444741124316077e-9,1.0287097239968915e-9,1.561595156211036e-9
medium/base64 encode/memory,9.310903343041811e-7,9.152691994381368e-7,9.559451300789029e-7,6.600757703875466e-8,5.398116356038152e-8,8.735306962289506e-8
medium/base64 encode/base64-bytestring,7.093146590368884e-6,7.027263945059503e-6,7.163180528220706e-6,2.1476093253367392e-7,1.7477908161540476e-7,2.709285939220381e-7
medium/base64 decode/memory,1.7101156992962045e-6,1.6556255422332464e-6,1.775405675435003e-6,2.1269245238655691e-7,1.621781257932464e-7,2.7227930817309487e-7
medium/base64 decode/base64-bytestring,1.8490611682999542e-6,1.774194421787826e-6,2.1458739057890385e-6,4.5543662869368166e-7,2.0899503033299502e-7,9.374218771862748e-7
large/base64 encode/memory,6.629714194717531e-6,6.447580720836801e-6,6.847975130135947e-6,6.677303453983441e-7,5.547094899790464e-7,8.559219516443525e-7
large/base64 encode/base64-bytestring,6.936158168404944e-5,6.831722684657331e-5,7.055116724680127e-5,3.877860024037827e-6,3.195953610596433e-6,4.594725726483101e-6
large/base64 decode/memory,1.634528322403554e-6,1.562933393413988e-6,1.713725340863537e-6,2.444496260684223e-7,2.0397018058203515e-7,2.819091702281969e-7
large/base64 decode/base64-bytestring,1.7805455552788351e-6,1.7391803598348073e-6,1.8223803683594105e-6,1.3069030493998847e-7,1.1194174635301853e-7,1.5586141689893375e-7
very large/base64 encode/memory,6.178213626059515e-5,6.071705239963466e-5,6.283584792669219e-5,3.7943147614851685e-6,3.1899758768543468e-6,4.9283945867094635e-6
very large/base64 encode/base64-bytestring,6.83630506973184e-4,6.719580296299465e-4,7.002587881537309e-4,4.805579163333985e-5,4.339094954200268e-5,5.7228879060504254e-5
very large/base64 decode/memory,1.7524960142751236e-6,1.6967219894747118e-6,1.8147387733197925e-6,1.995496502801632e-7,1.6737605153281305e-7,2.647567920122359e-7
